,year,Amount
0,2024^,201925.0
1,2023^,271993.0
2,2022^,129987.0
3,2021^,62334.0
4,2020^,77466.0
5,2019^,801123.0
6,2018^,829888.0
7,2017^,200100.0
8,2016^,970314.0
9,2015^,325654.0
10,2014^,68429.0
11,2013^,46136.89
12,2012^,25005.74
13,2011^,65307.99
