total,votes,donations,timestamp
0.0,,0.0,1739256981.509579
0.0,,0.0,1739258997.720746
0.0,,0.0,1739259037.987043
0.0,,0.0,1739259112.236846
0.0,,0.0,1739265049.6834226
0.0,,0.0,1739283706.1511354
0.0,,0.0,1739285760.742311
0.0,,0.0,1739289362.5979445
0.0,,0.0,1739292964.2822895
13237.7,3098.0,13237.7,1739296566.0160425
23950.7,7317.0,23950.7,1739300167.7095168
34723.7,10462.0,34723.7,1739303769.422784
40460.7,13378.0,40460.7,1739307371.3209662
48201.7,15849.0,48201.7,1739310972.72041
51708.7,18040.0,51708.7,1739314574.4907334
57546.78,19547.0,57546.78,1739318176.239272
61899.78,21084.0,61899.78,1739321777.9316084
67052.78,22330.0,67052.78,1739325379.6478083
74214.78,23348.0,74214.78,1739328981.4986892
79677.78,24361.0,79677.78,1739332607.6224723
80252.78,24433.0,80252.78,1739332907.968389
80352.78,24504.0,80352.78,1739333208.270718
80512.78,24553.0,80512.78,1739333508.5411916
80757.78,24629.0,80757.78,1739333808.8153138
81267.78,24694.0,81267.78,1739334109.153732
81379.78,24759.0,81379.78,1739334409.4790862
81613.78,24832.0,81613.78,1739334709.8045197
82813.78,24898.0,82813.78,1739335010.172454
83200.78,24952.0,83200.78,1739335310.535471
83210.78,25008.0,83210.78,1739335611.042192
83485.78,25081,83485.78,1739335911.656909
