Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Annual Revenue,Tags,2025,,,,,,,2024,,,,,,2023,,,,2022,,2021,,2020,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011
,,,,,,,,Videos,Views,Featured,Pledged,Form 990,P4ALink,Status,Videos,Views,Featured,Pledged,Form 990,Status,Featured,Pledged,Form 990,Status,Pledged,Form 990,Pledged,Form 990,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged
Lupus Foundation of America,$0.00,$0.00,http://www.lupus.org,,43-1131436,"$17,248,744",Health; Immune system diseases; Voluntary health associations & medical disciplines,,,,,,,,1,22,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
The Humane League ,"$59,678.00","$59,676.71",https://thehumaneleague.org/,,04-3817491,"$18,482,492",Animal-related; Animals,,,,,,,,16,1241,,,,no fund or feat,x,,,feat not fund,"$32,023.26","$32,024.00","$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
Wikimedia Foundation,"$36,948.00","$36,947.82",https://wikimediafoundation.org/,,20-0049703,"$180,199,672",Education; Libraries; Media democracy; Web-based media,,,,,,,,,,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,,,,,,,,,,,,,,,,,,,,,,
The Pet Fund,$0.00,$0.00,https://www.thepetfund.com/,,20-0232792,"$188,226",Animal-related; Animals,,,,,,,,1,192,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ocean Cleanup,"$152,465.00","$149,674.11",https://theoceancleanup.com/,,81-5132355,"$19,747,898",Environment,,,,,,,,1,165,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,,,,,,,,
GeekGirlCon,$0.00,$0.00,https://geekgirlcon.com/,,27-4177245,"$191,029",Art; Recreation & sports,,,,,,,,1,324,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
Hope Creates,$0.00,$0.00,Hopecreates.org,,82-1130017,"$198,707","Art; Arts, culture & humanities; Education; Human services",,,,,,,,1,191,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Disability Policy Consortium,$0.00,$0.00,https://www.dpcma.org/,,04-3570281,"$2,037,509","Civil rights, social action & advocacy",,,,,,,,1,109,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost-N-Found Youth,0,0,https://www.lnfy.org/,,45-4153322,"$2,043,970","Children and youth; Community improvement; Education; Employment; Housing and shelter; Human services; Hunger, food, and nutrition; Lgbtq+; Mental health; Poverty",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrive Youth Center,$0.00,"$37,297.09",WWW.THRIVEYOUTHCENTER.ORG,,47-1528452,"$2,094,636",Human services; Youth services,,,,,,,,1,536,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
Donate Life,"$15,089.00","$15,088.79",http://donatelife.net/,,54-1626038,"$2,096,973",Health; Unknown,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
World Association of Girl Guides and Girl Scouts,$0.00,$0.00,https://www.wagggs.org/,,23-7147834,"$2,226,873",Women's rights,,,,,,,,1,87,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Relief,"$15,271.00","$15,270.77",https://www.directrelief.org/,,95-1831116,"$2,266,763,483","Disaster relief; Health; International, foreign affairs & national security",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$15,271.00","$15,270.77",,,,,,,,
Legacy Youth Leadership,"$68,972.00","$68,971.08",https://legacyyouthleadership.org/,,81-2177352,"$2,268,114",Public & societal benefit; Youth services,,,,,,,,16,984,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
DoSomething.org,0,0,https://dosomething.org/,,13-3720473,"$2,329,517",Children and youth; Community improvement; Education; Employment; Environment and conservation; Healthcare; Lgbtq+; Mental health; Poverty; Science and technology; Youth development,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Exposure Elimination Project,0,0,https://leadelimination.org/,,87-3016729,"$2,360,458","Children and youth; International, foreign affairs & national security",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestinian Youth Movement,$0.00,$0.00,https://palestinianyouthmovement.com/,,13-3109400,"$2,379,650",Human rights; Palestine,,,,,,,,1,265,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Advocacy Center of Michigan,0,0,https://www.studentadvocacycenter.org,,38-2058667,"$2,404,443",Children and youth; Education,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamers Outreach,$0.00,$0.00,https://gamersoutreach.org/,,26-0321174,"$2,566,642",Youth development,,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
Kate's Club,0,0,https://www.katesclub.org/,,16-1646487,"$2,583,311",Children and youth; Human services,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester True Collaborative,0,0,https://ywcanh.org/donate-to-mtc/,YWCA of New Hampshire,02-0222254,"$2,730,433",Lgbtq+,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days for Girls International,"$25,000.00","$25,000.00",http://www.daysforgirls.org/,,45-3934671,"$2,913,820","Health; International, foreign affairs & national security; Women's rights; Youth services",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$25,000.00","$25,000.00",,,,,,
World YWCA,$0.00,$0.00,https://www.worldywca.org/,,98-6000983,"$2,946,885","Community services; Human services; International, foreign affairs & national security",,,,,,,,2,60,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
The J.E.D. Foundation,$0.00,$0.00,http://jedfoundation.org,,13-4131139,"$20,673,662",Mental health; Mental health & crisis intervention,,,,,,,,1,74,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLU,"$21,928.00","$21,927.93",https://www.aclu.org/,,13-6213516,"$201,181,635","Civil rights, social action & advocacy; Human rights",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,"$21,928.00","$21,927.93",,,,,,,,,,
Action Against Hunger,"$25,000.00","$25,000.00",http://www.actionagainsthunger.org/,,13-3327220,"$201,188,874","Hunger; International, foreign affairs & national security",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$25,000.00","$25,000.00",,,,,,,,
A Cat's Life Rescue,$0.00,"$37,297.09",www.acatsliferescue.org,,83-1610305,"$205,594",Animal-related; Animals,,,,,,,,1,738,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
RAINN,"$18,631.00","$18,630.48",https://www.rainn.org/,,52-1886511,"$21,320,102",Human services; Mental health & crisis intervention; Sexual violence,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,,,,,,
Givewell,"$27,654.00","$27,653.45",https://www.givewell.org/maximum-impact-fund,,20-8625442,"$219,626,118","Health; Philanthropy, voluntarism & grantmaking foundations; Poverty",,,,,,,,4,236,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
Upwardly Global,$0.00,$0.00,https://www.upwardlyglobal.org/,,94-3346127,"$22,391,041",Employment; Workforce development,,,,,,,,1,55,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
The Superhero Project,0,0,https://www.superheroprojectkids.org/,,84-2778460,"$222,566",Arts and culture; Children and youth; Disability; Health care,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital4Good x #ICANHELP,0,0,https://www.icanhelp.net,,47-1589233,"$224,447",Children and youth; Education; Youth development,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women for Women International,"$25,205.00","$25,204.68",http://www.womenforwomen.org/,,52-1838756,"$23,723,188","International, foreign affairs & national security; Women's rights",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$25,205.00","$25,204.68",,,,
Conservation International,$0.00,$0.00,https://www.conservation.org/,,52-1497470,"$235,131,545",Environment,,,,,,,,1,220,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Palomacy Pigeon & Dove Adoptions,0,0,https://www.pigeonrescue.org/,,87-2836252,"$238,636",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Central Kitchen,"$32,024.00","$32,023.26",https://wck.org/,,27-3521132,"$241,549,612","Disaster relief; Hunger; International, foreign affairs & national security",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
Fandom Forward,"$351,145.78","$385,651.98",https://fandomforward.org/,,20-8045792,"$246,598","Civil rights, social action & advocacy; Community organizing",,,,,,,,4,529,,"$37,297.09",,fund not feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$50,000.00","$50,000.00","$40,500.00","$40,500.00",33180.78,33180.78
Global Vision 2020,$0.00,$0.00,https://gv2020.org/,,26-4228446,"$247,497","Philanthropy, voluntarism & grantmaking foundations",,,,,,,,1,752,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Herd and Flock Animal Sanctuary,0,0,https://herdandflockanimalsanctuary.org/,,84-3648087,"$248,421",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Humane Society,"$17,440.00","$14,701.10",https://www.americanhumane.org/,,84-0432950,"$25,898,245",Animal-related; Animals,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
Mid Willamette Trans Support Network,$0.00,$0.00,https://midwillamettetsn.wixsite.com/oursite,,84-3648260,"$26,436",Human services,,,,,,,,1,138,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
New Incentives,0,0,https://www.newincentives.org/,,45-2368993,"$26,514,991","Children and youth; Healthcare; International, foreign affairs & national security; Poverty",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WaterAid,0,0,https://www.wateraid.org/us/,,30-0181674,"$26,599,731","International, foreign affairs & national security; Poverty",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Bag My Story,$0.00,$0.00,https://mybagmystory.com,,83-2750160,"$263,145",Foster care; Human services,,,,,,,,1,195,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
SameSame,0,0,https://www.samesamecollective.org/,,35-2723295,"$265,452",Human services; Lgbtq+; Mental health,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laughing at My Nightmare, Inc.",$0.00,$0.00,WWW.LAUGHINGATMYNIGHTMARE.COM,,45-4553464,"$266,898",Human services,,,,,,,,1,676,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Citizen Adventure Corps,0,0,https://globalcitizenadventurecorps.org/,,88-3435848,"$267,637","Animals; Children and youth; Education; Environment and conservation; Healthcare; Human rights; Hunger, food, and nutrition; Poverty",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partners in Health,"$2,401,873.00","$3,033,847.24",https://www.pih.org/,,04-3567502,"$273,127,031",Health; Health care,,,,,,,guaranteed,,,,"$684,967.38",,guaranteed,,"$492,908.15","$492,908.00",guaranteed,"$520,519.13","$520,520.00","$429,069.79","$455,566.00","$172,048.00","$145,551.47","$199,574.00","$199,573.63",,,"$269,533.00","$269,533.28",,,"$291,724.00","$291,724.41",,,,,,
Survival International,$0.00,$0.00,HTTPS://WWW.SURVIVALINTERNATIONAL.ORG/,,26-3208869,"$282,903","Human rights; International, foreign affairs & national security",,,,,,,,1,267,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Wonders,"$68,972.00","$106,268.17",https://www.animalwonders.org/#/,,26-3339055,"$287,878",Animal-related; Animals,,,,,,,,1,3682,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
Fistula Foundation,0,0,https://fistulafoundation.org/,,77-0547201,"$29,251,259",Disability; Health care; Healthcare; Poverty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMRS,0,0,https://openmrs.org,,45-5316647,"$299,561",Healthcare; Medical research; Poverty; Science and technology,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The American Red Cross,$0.00,$0.00,http://www.redcross.org,,53-0196605,"$3,217,077,611",Disaster relief; Health; Human services; International development,,,,,,,,1,54,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
True Colors United,0,0,https://truecolorsunited.org/,,45-2489069,"$3,386,191","Civil rights, social action & advocacy; Lgbtq+",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wings of Rescue,0,0,Wingsofrescue.org,,45-3343408,"$3,451,579",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarcoma Foundation of America,"$82,500.00","$82,500.41",http://www.curesarcoma.org/,,52-2275294,"$3,709,252","Arts, culture & humanities; Cancer; Health",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,"$82,500.41","$82,500.00",,,,,
Child's Play,"$50,000.00","$50,000.00",http://www.childsplaycharity.org/,,20-3584556,"$3,714,680",Health care; Human services,,,,,,,,,,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,"$50,000.00","$50,000.00",,,,
To Write Love on Her Arms,"$40,294.00","$40,293.47",http://twloha.com/,,26-0789229,"$3,854,070",Human rights; Mental health; Mental health & crisis intervention,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79","$25,205.00","$25,204.68",,,,
Puppies Behind Bars,0,0,https://puppiesbehindbars.com/,,13-3969389,"$3,991,785",Animals; Civil rights and advocacy; Crime and legal services; Human services,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Book Truck,"$15,089.00","$15,088.79",http://www.thebooktruck.org/,,45-3025073,"$308,479",Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
Drag Story Hour,$0.00,"$37,297.09",dragstoryhour.org,,86-2721367,"$309,839","Arts, culture & humanities; Children; Education; Lgbtq+ rights",,,,,,,,1,622,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
The Resilient Activist,$0.00,$0.00,www.theresilientactivist.org,,82-4982519,"$31,519",Environment; Mental health,,,,,,,,1,235,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Hook Promise,0,0,https://www.sandyhookpromise.org/,,46-1657101,"$31,635,190",Children and youth; Crime & legal-related,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sustainability Matters,"$68,972.00","$74,244.91",https://www.sustainabilitymatters.earth/,,84-2664760,"$311,002",Environment,,,,,,,,1,922,x,"$37,297.09",,fund and feat,,"$36,947.82","$36,948.00",fund not feat,,"$32,024.00",,,,,,,,,,,,,,,,,,,,
Michael J. Fox Foundation,0,0,https://www.michaeljfox.org,,13-4141945,"$316,078,272",Disability; Healthcare; Medical research,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeology in the Community,$0.00,$0.00,https://www.archaeologyincommunity.com/,,30-0538831,"$316,182","Art; Arts, culture & humanities; Education; Youth services",,,,,,,,1,166,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer research institute,0,0,www.cancerresearch.org,,‍13-1837442,"$32,295,259",Healthcare; Medical research,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crisis Text Line,"$17,440.00","$14,701.10",https://www.crisistextline.org/,,46-5039599,"$32,319,583",Mental health; Mental health & crisis intervention,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
UNRWA USA,$0.00,"$37,297.09",https://www.unrwausa.org/,,20-2714426,"$32,433,934","International development; International, foreign affairs & national security; Palestine; Refugees",,,,,,,,1,488,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renesting Project, Inc.",0,0,https://www.renestingprojectinc.org/,,45-3958008,"$322,151",Community improvement; Environment and conservation; Housing and shelter; Human services; Poverty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prison Book Program,"$114,066.00","$148,622.72",https://prisonbookprogram.org/,,20-3235673,"$324,332",Crime & legal-related; Education; Incarceration; Libraries,,,,,,,,4,2170,x,"$37,297.09",,fund and feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
Sphinx Academy,0,0,https://www.sphinxacademy.org/,,47-3487919,"$326,534",Education,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everytown for Gun Safety,"$17,440.00","$14,701.10",https://everytown.org/,,26-1598353,"$33,479,284",Crime & legal-related; Gun control; Policy,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
Books for Africa,"$15,089.00","$15,088.79",https://www.booksforafrica.org/,,41-1627391,"$33,635,680","Education; International, foreign affairs & national security",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
National Suicide Prevention Lifeline,"$18,630.00","$18,630.48",https://suicidepreventionlifeline.org/,Vibrant Emotional Health,13-2637308,"$332,408,073",Mental health,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,630.00","$18,630.48",,,,,,,,,,,,,,
Kiva,"$41,795.39","$41,795.07",https://www.kiva.org/,,71-0992446,"$34,727,565","Economic development; International, foreign affairs & national security; Poverty",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$25,205.00","$25,204.68",,,16590.39,16590.39
3 Bluebirds Farm,$0.00,$0.00,WWW.3BLUEBIRDSFARM.ORG,,30-0715917,"$345,367",Agriculture; Human services; Sustainability,,,,,,,,1,62,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungi Foundation,$0.00,$0.00,https://www.ffungi.org/,,85-1478153,"$348,314",Environment,,,,,,,,1,189,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Fund for Animal Welfare, Inc.",0,0,https://www.ifaw.org/programs/marine-mammal-rescue-research,,31-1594197,"$35,221,602",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Out,$0.00,$0.00,https://allout.org/en/what-all-out,Tides Foundation,51-0198509,"$350,128,498","Human rights; Lgbtq+; Philanthropy, voluntarism & grantmaking foundations",,,,,,,,1,52,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeSisters,0,0,treesisters.org,,84-3467752,"$36,155",Environment; Women's rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access to Medicines Initiative,0,0,https://www.accessmedicines.org/,,27-6601178,"$37,465,428","Healthcare; Human rights; Philanthropy, voluntarism & grantmaking foundations",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiro,$0.00,$0.00,https://www.spiro.ngo/,,27-6601178,"$37,465,428","Healthcare; Philanthropy, voluntarism & grantmaking foundations; Tuberculosis",,,,,,,,1,74,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
A Moment of Magic Foundation,$0.00,$0.00,AMOMENTOFMAGIC.ORG,,81-1740360,"$372,210","Philanthropy, voluntarism & grantmaking foundations; Social services",,,,,,,,,67,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Planned Parenthood,"$114,862.00","$112,072.55",https://www.plannedparenthood.org/,,13-1644147,"$378,167,827",Health; Health care,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,"$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00",,,,,,,,
NAMI,$0.00,$0.00,http://www.nami.org,,43-1201653,"$38,156,209",Mental health; Mental health & crisis intervention,,,,,,,,2,149,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
The Starfish Foundation,$0.00,$0.00,https://www.thestarfishchange.org/,,39-1847399,"$38,895","Arts, culture & humanities",,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
Animal Advocacy Careers,0,0,https://animaladvocacycareers.org/,,86-1554905,"$387,632",Animal-related,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Shelter Animal Rescue &amp; Adoption Center,$0.00,$0.00,http://www.littleshelter.com/,,11-6000821,"$4,036,970",Animal-related; Animals,,,,,,,,1,52,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Pajama Program,$0.00,$0.00,http://www.pajamaprogram.org/,,02-0588068,"$4,057,985",Children; Education; Human services,,,,,,,,1,462,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
National Center For Transgender Equality,"$68,972.00","$68,971.08",https://transequality.org/,,41-2090291,"$4,093,660","Civil rights, social action & advocacy; Lgbtq+ rights",,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
Literacy KC,$0.00,$0.00,https://literacykc.org/,,43-1435729,"$4,187,416",Education; Libraries,,,,,,,,1,606,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
MIND Research Institute,0,0,https://www.mindresearch.org/,,87-2002807,"$4,241,246",Education; Science & technology,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day One,0,0,https://dayoneny.org/get-help/,,06-1103000,"$4,293,806",Children and youth; Human services,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NephCure Kidney International,$0.00,$0.00,http://www.nephcure.org,,38-3569922,"$4,295,090","Health; Kidney diseases; Philanthropy, voluntarism & grantmaking foundations",,,,,,,,1,147,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelter, Inc.",$0.00,$0.00,HTTPS://WWW.SHELTER-INC.ORG/,,23-7399596,"$4,296,819",Children; Housing & shelter; Shelter,,,,,,,,1,526,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Equality,$0.00,$0.00,https://animalequality.org/,,47-2420444,"$4,464,178",Animal-related; Animals,,,,,,,,1,406,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty in North Korea,"$75,000.00","$75,000.00",http://www.libertyinnorthkorea.org/,,73-1710135,"$4,487,447","Human rights; International, foreign affairs & national security",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$25,000.00","$25,000.00",,,"$50,000.00","$50,000.00",,,,
Seacology,0,0,https://www.seacology.org/what-we-do/,,87-0495235,"$4,599,548",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundation for an Independent Tomorrow (FIT),0,0,https://www.lasvegasfit.org/,,88-0377684,"$4,642,493",Community improvement; Education; Employment; Poverty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans Lifeline,"$27,654.00",$0.00,www.translifeline.org,,47-2097494,"$4,665,261",Lgbtq+ rights; Mental health & crisis intervention,,,,,,,,,,,,,no fund or feat,,,,,,,,"$27,654.00",,,,,,,,,,,,,,,,,,
Creative Commons,$0.00,$0.00,https://creativecommons.org/,,04-3585301,"$4,891,109",Education,,,,,,,,1,439,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Feeding America,"$52,859.00","$52,858.13",https://www.feedingamerica.org/,,36-3673599,"$4,916,912,461","Food, agriculture & nutrition; Hunger",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,"$25,205.00","$25,204.68",,,,
Vida Plena,0,0,https://vidaplena.global/,,87-4372490,"$401,040",Mental health; Mental health & crisis intervention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disability EmpowHer Network,0,0,https://www.disabilityempowhernetwork.org,,86-2446885,"$402,588",Children and youth; Disability; Disaster preparedness and relief; Public & societal benefit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Association,"$47,422.00","$47,371.45",https://www.alz.org/,,13-3039601,"$412,425,302",Alzheimer's; Health; Voluntary health associations & medical disciplines,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
The Northwest Hub,0,0,https://www.thenorthwesthub.org/,,32-0439729,"$423,624",Community improvement; Employment; Public & societal benefit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Food Institute,"$157,697.00","$154,956.11",https://gfi.org/,,81-0840578,"$43,631,366","Education; Food, agriculture & nutrition",,,,,,,,7,683,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48",,,"$25,000.00","$25,000.00",,,,,,,,,,
Last Mile Health,"$239,862.00","$239,861.93",http://lastmilehealth.org/,,26-1401736,"$44,994,266",Health; Health care,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$217,934.00","$217,934.00","$21,928.00","$21,927.93",,,,,,,,,,
Clean Air Task Force,"$45,094.00","$42,354.55",https://www.catf.us/,,04-3512550,"$46,284,638",Climate; Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
Disabled Children's Fund,$0.00,$0.00,https://achildthrives.org/,,52-2062902,"$46,971","International, foreign affairs & national security",,,,,,,,1,0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
American Foundation for Suicide Prevention,"$30,360.00","$30,359.56",https://www.afsp.org/,,13-3393329,"$47,990,598",Mental health; Mental health & crisis intervention,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$15,271.00","$15,270.77","$15,089.00","$15,088.79",,,,,,
Ocean Conservancy,$0.00,$0.00,http://www.oceanconservancy.org,,23-7245152,"$48,602,165",Environment,,,,,,,,1,0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
