Year,State,District,Awards,Funding
,,Summary for Alabama by Congressional District,,
2021,,7,330,"$546,270,905"
2021,,9,3,"$1,574,307"
2021,,Total,352,"$555,129,224"
2021,,Summary for West Virginia by Congressional District,,
2021,,Congressional District,Awards,Funding
2021,,1,7,"$3,119,115"
2021,,Total,7,"$3,119,115"
2021,,Summary for Wisconsin by Congressional District,,
2021,,Congressional District,Awards,Funding
2021,,2,97,"$65,267,280"
2021,,4,5,"$1,981,288"
2021,,5,24,"$8,425,107"
2021,,6,1,"$165,786"
2021,,Total,127,"$75,839,461"
2021,,Summary for Wyoming by Congressional District,,
2021,,Congressional District,Awards,Funding
2021,,At-Large,2,"$370,437"
2021,,Total,2,"$370,437"
,,,,
2020,,Summary for Alabama by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,1,"$385,000"
2020,,7,91,"$66,179,328"
2020,,Total,92,"$66,564,328"
2020,,Summary for Alaska by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,At-Large,1,"$332,140"
2020,,Total,1,"$332,140"
2020,,Summary for Arizona by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,3,34,"$18,737,858"
2020,,6,4,"$1,692,550"
2020,,7,4,"$1,349,161"
2020,,8,1,"$75,000"
2020,,9,5,"$3,194,075"
2020,,Total,48,"$25,048,644"
2020,,Summary for Arkansas by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,16,"$5,238,419"
2020,,3,1,"$937,500"
2020,,Total,17,"$6,175,919"
2020,,Summary for California by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,2,"$988,330"
2020,,3,57,"$22,250,276"
2020,,5,1,"$178,750"
2020,,6,1,"$299,874"
2020,,11,1,"$300,000"
2020,,12,166,"$118,529,507"
2020,,13,60,"$37,453,422"
2020,,14,10,"$9,131,972"
2020,,15,4,"$4,114,371"
2020,,16,5,"$1,352,372"
2020,,17,1,"$243,750"
2020,,18,122,"$102,488,368"
2020,,19,4,"$1,687,144"
2020,,20,12,"$4,664,519"
2020,,24,4,"$2,228,160"
2020,,27,13,"$8,469,150"
2020,,28,28,"$13,048,283"
2020,,32,13,"$9,580,758"
2020,,33,87,"$286,336,771"
2020,,35,1,"$344,390"
2020,,37,15,"$7,443,855"
2020,,41,14,"$5,501,737"
2020,,43,8,"$6,744,767"
2020,,44,2,"$599,954"
2020,,45,43,"$18,571,670"
2020,,48,1,"$998,228"
2020,,49,91,"$95,050,707"
2020,,52,162,"$112,140,447"
2020,,53,1,"$670,704"
2020,,Total,929,"$871,412,236"
2020,,Summary for Colorado by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,22,"$15,065,482"
2020,,2,31,"$19,411,133"
2020,,4,41,"$22,332,117"
2020,,6,85,"$36,412,484"
2020,,7,2,"$490,588"
2020,,Total,181,"$93,711,804"
2020,,Summary for Connecticut by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,5,"$1,627,613"
2020,,3,113,"$54,038,567"
2020,,5,18,"$8,332,244"
2020,,Total,136,"$63,998,424"
2020,,Summary for Delaware by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,At-Large,2,"$399,838"
2020,,Total,2,"$399,838"
2020,,Summary for District Of Columbia by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,98,37,"$30,266,135"
2020,,Total,37,"$30,266,135"
2020,,Summary for Florida by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,3,42,"$25,581,584"
2020,,4,3,"$646,597"
2020,,5,3,"$960,367"
2020,,7,14,"$4,195,930"
2020,,14,23,"$10,552,304"
2020,,16,1,"$197,454"
2020,,18,16,"$11,460,230"
2020,,26,7,"$1,639,028"
2020,,27,20,"$9,544,676"
2020,,Total,129,"$64,778,170"
2020,,Summary for Georgia by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,5,187,"$167,219,292"
2020,,6,3,"$595,369"
2020,,7,1,"$272,223"
2020,,10,68,"$35,965,363"
2020,,12,4,"$1,524,468"
2020,,Total,263,"$205,576,715"
2020,,Summary for Hawaii by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,12,"$14,290,023"
2020,,Total,12,"$14,290,023"
2020,,Summary for Idaho by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,4,"$1,376,766"
2020,,Total,4,"$1,376,766"
2020,,Summary for Illinois by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,60,"$34,954,978"
2020,,6,1,"$262,500"
2020,,7,122,"$58,690,219"
2020,,10,2,"$819,000"
2020,,12,1,"$27,500"
2020,,13,22,"$8,940,152"
2020,,Total,208,"$103,694,349"
2020,,Summary for Indiana by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,17,"$9,213,419"
2020,,4,17,"$8,527,188"
2020,,6,1,"$225,343"
2020,,7,39,"$18,179,118"
2020,,9,14,"$5,464,274"
2020,,Total,88,"$41,609,342"
2020,,Summary for Iowa by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,54,"$21,688,585"
2020,,4,14,"$5,533,046"
2020,,Total,68,"$27,221,631"
2020,,Summary for Kansas by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,9,"$4,485,093"
2020,,2,9,"$3,380,144"
2020,,3,15,"$4,178,898"
2020,,Total,33,"$12,044,135"
2020,,Summary for Kentucky by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,3,11,"$3,459,158"
2020,,6,29,"$8,648,582"
2020,,Total,40,"$12,107,740"
2020,,Summary for Louisiana by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,32,"$23,982,244"
2020,,2,5,"$1,345,847"
2020,,3,7,"$8,220,598"
2020,,4,3,"$1,090,000"
2020,,6,9,"$2,738,401"
2020,,Total,56,"$37,377,090"
2020,,Summary for Maine by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,10,"$6,148,962"
2020,,Total,10,"$6,148,962"
2020,,Summary for Maryland by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,1,"$69,471"
2020,,3,8,"$6,999,115"
2020,,5,30,"$12,838,367"
2020,,6,32,"$29,786,297"
2020,,7,259,"$193,440,733"
2020,,8,80,"$135,739,952"
2020,,Total,410,"$378,873,935"
2020,,Summary for Massachusetts by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,78,"$41,393,235"
2020,,3,6,"$7,486,452"
2020,,4,9,"$4,913,996"
2020,,5,21,"$18,748,887"
2020,,6,1,"$258,631"
2020,,7,410,"$304,724,536"
2020,,8,121,"$61,458,716"
2020,,9,1,"$200,600"
2020,,Total,647,"$439,185,053"
2020,,Summary for Michigan by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,2,"$637,754"
2020,,3,3,"$1,122,411"
2020,,4,1,"$450,778"
2020,,6,2,"$755,000"
2020,,8,23,"$10,149,429"
2020,,12,96,"$45,562,574"
2020,,13,13,"$6,420,287"
2020,,Total,140,"$65,098,233"
2020,,Summary for Minnesota by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,34,"$14,132,294"
2020,,3,2,"$4,474,387"
2020,,4,2,"$1,239,151"
2020,,5,80,"$39,589,389"
2020,,Total,118,"$59,435,221"
2020,,Summary for Mississippi by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,2,"$447,512"
2020,,3,3,"$934,098"
2020,,4,1,"$355,680"
2020,,Total,6,"$1,737,290"
2020,,Summary for Missouri by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,144,"$78,889,975"
2020,,4,18,"$5,580,029"
2020,,5,2,"$1,735,305"
2020,,Total,164,"$86,205,309"
2020,,Summary for Montana by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,At-Large,20,"$18,382,583"
2020,,Total,20,"$18,382,583"
2020,,Summary for Nebraska by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,4,"$1,206,415"
2020,,2,29,"$13,757,901"
2020,,Total,33,"$14,964,316"
2020,,Summary for Nevada by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,9,"$2,985,711"
2020,,3,2,"$1,378,322"
2020,,Total,11,"$4,364,033"
2020,,Summary for New Hampshire by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,30,"$13,308,695"
2020,,Total,30,"$13,308,695"
2020,,Summary for New Jersey by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,1,"$402,500"
2020,,3,1,"$574,240"
2020,,5,15,"$16,880,861"
2020,,6,15,"$6,917,544"
2020,,7,2,"$1,218,073"
2020,,10,43,"$25,978,560"
2020,,12,10,"$2,786,218"
2020,,Total,87,"$54,757,996"
2020,,Summary for New Mexico by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,17,"$6,565,948"
2020,,2,1,"$825,889"
2020,,3,6,"$3,682,868"
2020,,Total,24,"$11,074,705"
2020,,Summary for New York by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,25,"$9,589,052"
2020,,2,1,"$55,000"
2020,,3,14,"$10,009,223"
2020,,7,1,"$299,591"
2020,,9,2,"$842,820"
2020,,10,9,"$11,424,674"
2020,,12,225,"$143,737,897"
2020,,13,165,"$145,957,288"
2020,,14,47,"$32,087,569"
2020,,17,4,"$839,032"
2020,,20,32,"$12,697,111"
2020,,21,2,"$396,000"
2020,,22,5,"$1,250,558"
2020,,23,54,"$19,171,246"
2020,,24,8,"$2,899,504"
2020,,25,47,"$30,617,747"
2020,,26,30,"$13,987,500"
2020,,Total,671,"$435,861,812"
2020,,Summary for North Carolina by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,155,"$418,566,745"
2020,,3,5,"$1,894,744"
2020,,4,165,"$105,632,254"
2020,,5,14,"$6,501,727"
2020,,6,1,"$299,999"
2020,,7,6,"$111,441,343"
2020,,12,1,"$145,500"
2020,,Total,347,"$644,482,312"
2020,,Summary for North Dakota by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,At-Large,8,"$1,741,549"
2020,,Total,8,"$1,741,549"
2020,,Summary for Ohio by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,60,"$38,193,640"
2020,,2,2,"$525,324"
2020,,3,96,"$62,511,139"
2020,,7,2,"$612,040"
2020,,9,5,"$1,852,806"
2020,,11,48,"$30,767,102"
2020,,12,1,"$1,168,045"
2020,,15,2,"$876,051"
2020,,16,2,"$1,297,316"
2020,,Total,218,"$137,803,463"
2020,,Summary for Oklahoma by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,3,7,"$1,208,367"
2020,,4,9,"$3,327,414"
2020,,5,21,"$11,240,039"
2020,,Total,37,"$15,775,820"
2020,,Summary for Oregon by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,3,"$2,286,124"
2020,,3,59,"$35,986,447"
2020,,4,8,"$1,752,037"
2020,,Total,70,"$40,024,608"
2020,,Summary for Pennsylvania by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,5,"$3,217,283"
2020,,2,20,"$10,987,385"
2020,,3,210,"$116,976,334"
2020,,5,2,"$581,361"
2020,,6,9,"$11,923,265"
2020,,10,11,"$5,090,447"
2020,,12,17,"$6,470,680"
2020,,18,128,"$78,076,040"
2020,,Total,402,"$233,322,795"
2020,,Summary for Rhode Island by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,29,"$14,300,331"
2020,,2,10,"$3,719,265"
2020,,Total,39,"$18,019,596"
2020,,Summary for South Carolina by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,13,"$4,651,341"
2020,,3,4,"$895,372"
2020,,4,4,"$1,237,732"
2020,,6,15,"$12,136,009"
2020,,Total,36,"$18,920,454"
2020,,Summary for South Dakota by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,At-Large,3,"$876,334"
2020,,Total,3,"$876,334"
2020,,Summary for Tennessee by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,2,"$1,894,658"
2020,,2,6,"$1,693,128"
2020,,5,108,"$67,205,540"
2020,,6,1,"$65,400"
2020,,9,50,"$52,924,643"
2020,,Total,167,"$123,783,369"
2020,,Summary for Texas by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,4,"$2,126,432"
2020,,2,3,"$904,337"
2020,,6,2,"$544,490"
2020,,9,98,"$54,353,382"
2020,,10,21,"$9,063,952"
2020,,12,1,"$328,500"
2020,,14,73,"$51,543,824"
2020,,15,1,"$681,811"
2020,,16,3,"$1,701,620"
2020,,17,35,"$15,169,573"
2020,,18,5,"$2,708,714"
2020,,19,5,"$1,882,563"
2020,,20,22,"$9,275,923"
2020,,21,19,"$5,596,929"
2020,,22,1,"$221,014"
2020,,30,44,"$26,330,387"
2020,,31,1,"$2,999,221"
2020,,32,2,"$1,001,479"
2020,,Total,340,"$186,434,151"
2020,,Summary for Utah by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,15,"$4,168,749"
2020,,2,33,"$19,852,641"
2020,,3,2,"$1,741,700"
2020,,Total,50,"$25,763,090"
2020,,Summary for Vermont by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,At-Large,17,"$5,898,287"
2020,,Total,17,"$5,898,287"
2020,,Summary for Virginia by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,14,"$16,672,735"
2020,,2,1,"$578,570"
2020,,3,6,"$2,538,737"
2020,,4,10,"$4,130,511"
2020,,5,64,"$23,492,639"
2020,,9,20,"$6,266,879"
2020,,11,6,"$2,896,888"
2020,,Total,121,"$56,576,959"
2020,,Summary for Washington by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,4,1,"$166,889"
2020,,5,17,"$6,809,746"
2020,,6,2,"$1,055,206"
2020,,7,322,"$796,160,700"
2020,,9,3,"$758,828"
2020,,Total,345,"$804,951,369"
2020,,Summary for West Virginia by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,1,5,"$1,755,846"
2020,,3,1,"$434,180"
2020,,Total,6,"$2,190,026"
2020,,Summary for Wisconsin by Congressional District,,
2020,,Congressional District,Awards,Funding
2020,,2,85,"$57,217,301"
2020,,4,5,"$1,829,023"
2020,,5,24,"$8,192,544"
2020,,6,1,"$190,382"
2020,,Total,115,"$67,429,250"
,,,,
2019,,Summary for Alabama by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,3,1,"$187,475"
2019,,6,1,"$300,000"
2019,,7,86,"$67,919,114"
2019,,Total,88,"$68,406,589"
2019,,Summary for Alaska by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,At-Large,1,"$332,729"
2019,,Total,1,"$332,729"
2019,,Summary for Arizona by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,2,"$658,472"
2019,,3,30,"$11,838,782"
2019,,6,1,"$202,500"
2019,,8,2,"$525,000"
2019,,9,8,"$3,589,035"
2019,,Total,43,"$16,813,789"
2019,,Summary for Arkansas by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,17,"$5,154,394"
2019,,Total,17,"$5,154,394"
2019,,Summary for California by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,1,$1
2019,,3,50,"$18,846,706"
2019,,5,1,"$214,500"
2019,,12,142,"$99,566,855"
2019,,13,47,"$22,942,682"
2019,,14,12,"$7,331,984"
2019,,15,3,"$3,297,546"
2019,,16,6,"$1,846,123"
2019,,17,7,"$2,617,865"
2019,,18,115,"$72,404,027"
2019,,19,4,"$2,274,018"
2019,,20,15,"$5,633,492"
2019,,24,4,"$1,712,063"
2019,,27,15,"$8,772,930"
2019,,28,21,"$9,745,054"
2019,,31,1,"$37,697"
2019,,32,11,"$9,796,653"
2019,,33,72,"$80,959,571"
2019,,35,1,"$366,363"
2019,,37,19,"$8,760,614"
2019,,39,1,"$139,100"
2019,,41,18,"$5,524,889"
2019,,43,10,"$7,381,258"
2019,,44,1,"$599,983"
2019,,45,35,"$13,931,648"
2019,,48,1,"$299,089"
2019,,49,92,"$79,412,883"
2019,,52,147,"$101,688,752"
2019,,53,1,"$670,477"
2019,,Total,853,"$566,774,823"
2019,,Summary for Colorado by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,20,"$13,370,585"
2019,,2,23,"$6,537,278"
2019,,4,30,"$13,180,085"
2019,,6,60,"$27,341,705"
2019,,7,1,"$228,150"
2019,,Total,134,"$60,657,803"
2019,,Summary for Connecticut by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,7,"$2,446,278"
2019,,3,107,"$49,210,272"
2019,,5,16,"$6,923,635"
2019,,Total,130,"$58,580,185"
2019,,Summary for Delaware by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,At-Large,3,"$604,266"
2019,,Total,3,"$604,266"
2019,,Summary for District Of Columbia by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,98,27,"$17,452,370"
2019,,Total,27,"$17,452,370"
2019,,Summary for Florida by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,3,51,"$28,471,676"
2019,,4,1,"$340,625"
2019,,5,2,"$1,049,878"
2019,,7,9,"$2,856,673"
2019,,14,19,"$8,363,911"
2019,,16,1,"$212,268"
2019,,18,14,"$7,331,266"
2019,,21,2,"$1,979,880"
2019,,22,2,"$631,096"
2019,,26,6,"$1,521,747"
2019,,27,24,"$12,708,528"
2019,,Total,131,"$65,467,548"
2019,,Summary for Georgia by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,5,150,"$110,615,187"
2019,,6,1,"$298,359"
2019,,10,47,"$26,048,073"
2019,,12,1,"$705,771"
2019,,Total,199,"$137,667,390"
2019,,Summary for Hawaii by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,10,"$6,899,109"
2019,,Total,10,"$6,899,109"
2019,,Summary for Idaho by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,4,"$1,413,777"
2019,,2,1,"$66,009"
2019,,Total,5,"$1,479,786"
2019,,Summary for Illinois by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,57,"$30,007,913"
2019,,7,112,"$55,565,322"
2019,,9,5,"$1,454,829"
2019,,10,2,"$777,158"
2019,,11,1,"$214,519"
2019,,13,21,"$8,393,113"
2019,,Total,198,"$96,412,854"
2019,,Summary for Indiana by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,16,"$8,569,651"
2019,,4,19,"$9,401,997"
2019,,7,37,"$16,570,436"
2019,,9,12,"$3,181,118"
2019,,Total,84,"$37,723,202"
2019,,Summary for Iowa by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,53,"$21,264,721"
2019,,4,15,"$5,369,059"
2019,,Total,68,"$26,633,780"
2019,,Summary for Kansas by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,8,"$3,391,790"
2019,,2,13,"$5,046,948"
2019,,3,13,"$3,079,108"
2019,,Total,34,"$11,517,846"
2019,,Summary for Kentucky by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,3,18,"$5,192,146"
2019,,6,19,"$5,775,392"
2019,,Total,37,"$10,967,538"
2019,,Summary for Louisiana by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,30,"$17,936,016"
2019,,2,5,"$1,224,718"
2019,,3,2,"$5,139,468"
2019,,4,5,"$1,817,500"
2019,,6,13,"$4,582,411"
2019,,Total,55,"$30,700,113"
2019,,Summary for Maine by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,10,"$6,540,397"
2019,,Total,10,"$6,540,397"
2019,,Summary for Maryland by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,3,"$2,041,352"
2019,,3,1,"$1,909,432"
2019,,5,27,"$11,019,764"
2019,,6,35,"$30,381,490"
2019,,7,236,"$177,027,449"
2019,,8,85,"$130,779,036"
2019,,Total,387,"$353,158,523"
2019,,Summary for Massachusetts by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,70,"$35,723,359"
2019,,3,5,"$3,923,052"
2019,,4,13,"$5,909,488"
2019,,5,18,"$13,343,102"
2019,,7,383,"$280,267,780"
2019,,8,98,"$48,526,042"
2019,,Total,587,"$387,692,823"
2019,,Summary for Michigan by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,3,1,"$475,000"
2019,,6,2,"$755,000"
2019,,8,19,"$8,542,476"
2019,,12,94,"$42,509,315"
2019,,13,14,"$6,660,611"
2019,,Total,130,"$58,942,402"
2019,,Summary for Minnesota by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,28,"$12,236,655"
2019,,3,1,"$2,179,037"
2019,,4,1,"$970,147"
2019,,5,70,"$28,492,779"
2019,,Total,100,"$43,878,618"
2019,,Summary for Mississippi by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,2,"$615,376"
2019,,3,3,"$944,142"
2019,,4,2,"$811,835"
2019,,Total,7,"$2,371,353"
2019,,Summary for Missouri by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,133,"$57,543,179"
2019,,4,17,"$4,755,986"
2019,,5,3,"$2,612,758"
2019,,Total,153,"$64,911,923"
2019,,Summary for Montana by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,At-Large,21,"$12,136,870"
2019,,Total,21,"$12,136,870"
2019,,Summary for Nebraska by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,4,"$986,550"
2019,,2,26,"$12,368,211"
2019,,Total,30,"$13,354,761"
2019,,Summary for Nevada by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,6,"$2,019,063"
2019,,3,2,"$819,620"
2019,,Total,8,"$2,838,683"
2019,,Summary for New Hampshire by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,1,"$75,250"
2019,,2,32,"$12,262,063"
2019,,Total,33,"$12,337,313"
2019,,Summary for New Jersey by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,1,"$402,500"
2019,,3,1,"$873,090"
2019,,5,9,"$13,098,775"
2019,,6,11,"$3,637,627"
2019,,7,3,"$1,523,818"
2019,,10,33,"$19,386,752"
2019,,12,12,"$4,158,174"
2019,,Total,70,"$43,080,736"
2019,,Summary for New Mexico by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,16,"$5,689,733"
2019,,2,1,"$148,000"
2019,,3,5,"$2,890,856"
2019,,Total,22,"$8,728,589"
2019,,Summary for New York by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,24,"$8,961,281"
2019,,2,2,"$482,505"
2019,,3,10,"$2,459,859"
2019,,7,2,"$599,955"
2019,,9,2,"$696,997"
2019,,10,13,"$18,680,572"
2019,,12,186,"$110,622,423"
2019,,13,138,"$121,530,089"
2019,,14,56,"$31,872,819"
2019,,17,3,"$1,205,219"
2019,,20,28,"$12,328,764"
2019,,21,1,"$99,000"
2019,,22,3,"$649,155"
2019,,23,45,"$14,708,491"
2019,,24,10,"$3,395,324"
2019,,25,49,"$23,501,370"
2019,,26,20,"$9,977,792"
2019,,Total,592,"$361,771,615"
2019,,Summary for North Carolina by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,127,"$207,374,192"
2019,,3,6,"$2,069,496"
2019,,4,129,"$98,371,413"
2019,,5,10,"$2,522,017"
2019,,6,1,"$300,000"
2019,,7,5,"$37,243,910"
2019,,12,2,"$515,391"
2019,,Total,280,"$348,396,419"
2019,,Summary for North Dakota by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,At-Large,7,"$1,714,350"
2019,,Total,7,"$1,714,350"
2019,,Summary for Ohio by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,48,"$32,678,409"
2019,,2,1,"$297,014"
2019,,3,81,"$31,828,091"
2019,,7,2,"$745,000"
2019,,8,1,"$433,500"
2019,,9,5,"$1,241,007"
2019,,11,43,"$27,237,588"
2019,,12,2,"$1,503,776"
2019,,15,2,"$528,511"
2019,,16,2,"$443,590"
2019,,Total,187,"$96,936,486"
2019,,Summary for Oklahoma by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,3,4,"$971,638"
2019,,4,7,"$2,853,131"
2019,,5,17,"$8,522,256"
2019,,Total,28,"$12,347,025"
2019,,Summary for Oregon by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,4,"$3,278,144"
2019,,3,45,"$26,954,838"
2019,,4,6,"$2,317,638"
2019,,Total,55,"$32,550,620"
2019,,Summary for Pennsylvania by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,6,"$3,328,073"
2019,,2,18,"$9,808,514"
2019,,3,191,"$109,622,335"
2019,,4,2,"$580,167"
2019,,6,7,"$18,169,467"
2019,,10,9,"$4,053,688"
2019,,12,16,"$6,508,948"
2019,,18,124,"$85,114,550"
2019,,Total,373,"$237,185,742"
2019,,Summary for Rhode Island by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,31,"$15,235,457"
2019,,2,16,"$3,805,596"
2019,,Total,47,"$19,041,053"
2019,,Summary for South Carolina by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,1,"$300,000"
2019,,3,3,"$623,110"
2019,,4,3,"$357,228"
2019,,6,30,"$14,145,910"
2019,,Total,37,"$15,426,248"
2019,,Summary for South Dakota by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,At-Large,5,"$1,981,231"
2019,,Total,5,"$1,981,231"
2019,,Summary for Tennessee by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,5,"$2,609,611"
2019,,2,4,"$1,003,118"
2019,,5,91,"$42,983,229"
2019,,9,52,"$47,557,552"
2019,,Total,152,"$94,153,510"
2019,,Summary for Texas by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,3,"$714,342"
2019,,2,3,"$951,515"
2019,,6,1,"$203,693"
2019,,9,100,"$42,733,545"
2019,,10,20,"$6,354,552"
2019,,12,1,"$328,500"
2019,,14,62,"$46,976,485"
2019,,15,1,"$365,156"
2019,,16,7,"$3,330,343"
2019,,17,35,"$16,418,707"
2019,,18,6,"$2,525,154"
2019,,19,7,"$2,355,055"
2019,,20,19,"$11,334,985"
2019,,21,31,"$8,620,571"
2019,,22,1,"$600,000"
2019,,26,1,"$711,126"
2019,,27,1,"$407,570"
2019,,30,31,"$20,846,325"
2019,,32,5,"$1,685,906"
2019,,Total,335,"$167,463,530"
2019,,Summary for Utah by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,11,"$3,192,727"
2019,,2,34,"$19,532,812"
2019,,3,2,"$1,733,241"
2019,,Total,47,"$24,458,780"
2019,,Summary for Vermont by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,At-Large,15,"$5,929,953"
2019,,Total,15,"$5,929,953"
2019,,Summary for Virginia by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,16,"$16,093,840"
2019,,2,1,"$412,542"
2019,,3,6,"$3,404,349"
2019,,4,15,"$5,454,364"
2019,,5,51,"$16,752,648"
2019,,6,2,"$3,499,991"
2019,,8,5,"$4,325,097"
2019,,9,14,"$4,296,765"
2019,,10,2,"$498,658"
2019,,11,5,"$2,349,723"
2019,,Total,117,"$57,087,977"
2019,,Summary for Washington by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,1,"$31,140"
2019,,5,21,"$7,060,108"
2019,,6,5,"$1,392,695"
2019,,7,301,"$323,668,669"
2019,,9,1,"$299,836"
2019,,Total,329,"$332,452,448"
2019,,Summary for West Virginia by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,1,3,"$1,349,886"
2019,,3,1,"$166,621"
2019,,Total,4,"$1,516,507"
2019,,Summary for Wisconsin by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,2,70,"$51,024,013"
2019,,4,4,"$1,058,959"
2019,,5,18,"$7,118,311"
2019,,Total,92,"$59,201,283"
2019,,Summary for Wyoming by Congressional District,,
2019,,Congressional District,Awards,Funding
2019,,At-Large,2,"$910,753"
2019,,Total,2,"$910,753"
