Year,State,District,Awards,Funding
,,Summary for Alabama by Congressional District,,
2025,,3,3,"$2,557,324"
2025,,4,3,"$1,717,117"
2025,,6,65,"$35,432,243"
2025,,7,26,"$12,064,442"
2025,,13,5,"$2,388,487"
2025,,Total,102,"$54,159,613"
2025,,Summary for Minnesota by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,16,"$7,157,468"
2025,,4,3,"$1,598,251"
2025,,5,92,"$53,197,422"
2025,,Total,111,"$61,953,141"
2025,,Summary for Mississippi by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,3,2,"$918,553"
2025,,4,5,"$1,687,660"
2025,,Total,7,"$2,606,213"
2025,,Summary for Missouri by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,167,"$107,518,881"
2025,,2,1,"$1,000"
2025,,3,12,"$8,149,790"
2025,,5,5,"$3,445,172"
2025,,Total,185,"$119,114,843"
2025,,Summary for Montana by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,8,"$6,226,083"
2025,,Total,8,"$6,226,083"
2025,,Summary for Nebraska by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,2,"$863,375"
2025,,2,20,"$9,216,256"
2025,,Total,22,"$10,079,631"
2025,,Summary for Nevada by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,5,"$2,452,955"
2025,,2,4,"$2,225,082"
2025,,Total,9,"$4,678,037"
2025,,Summary for New Hampshire by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,31,"$14,439,607"
2025,,Total,31,"$14,439,607"
2025,,Summary for New Jersey by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,1,"$474,363"
2025,,3,1,"$61,916"
2025,,5,16,"$22,840,031"
2025,,6,4,"$1,674,790"
2025,,10,63,"$46,512,717"
2025,,12,19,"$12,791,232"
2025,,Total,104,"$84,355,049"
2025,,Summary for New Mexico by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,16,"$6,058,082"
2025,,3,4,"$2,789,233"
2025,,Total,20,"$8,847,315"
2025,,Summary for New York by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,24,"$12,553,722"
2025,,3,15,"$9,543,679"
2025,,9,1,"$237,165"
2025,,10,11,"$9,724,363"
2025,,12,184,"$172,038,002"
2025,,13,172,"$130,132,455"
2025,,14,55,"$45,575,302"
2025,,16,1,"$300,616"
2025,,17,2,"$468,096"
2025,,19,34,"$17,037,283"
2025,,20,16,"$8,337,928"
2025,,22,8,"$2,943,122"
2025,,25,34,"$17,136,023"
2025,,26,32,"$13,436,029"
2025,,Total,589,"$439,463,785"
2025,,Summary for North Carolina by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,,120,"$64,763,759"
2025,,1,4,"$1,627,591"
2025,,2,1,"$143,797"
2025,,4,184,"$249,321,646"
2025,,7,7,"$52,885,340"
2025,,9,4,"$3,600,145"
2025,,10,12,"$7,365,496"
2025,,12,7,"$2,851,630"
2025,,13,1,"$1,999,195"
2025,,Total,340,"$384,558,599"
2025,,Summary for North Dakota by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,At-Large,4,"$1,097,740"
2025,,Total,4,"$1,097,740"
2025,,Summary for Ohio by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,53,"$31,434,371"
2025,,3,78,"$37,642,369"
2025,,5,1,"$419,466"
2025,,7,2,"$530,174"
2025,,9,2,"$201,066"
2025,,11,47,"$25,729,953"
2025,,12,1,"$75,500"
2025,,Total,184,"$96,032,899"
2025,,Summary for Oklahoma by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,3,9,"$2,918,602"
2025,,4,6,"$2,985,163"
2025,,5,20,"$18,522,894"
2025,,Total,35,"$24,426,659"
2025,,Summary for Oregon by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,40,"$38,618,567"
2025,,4,4,"$1,895,636"
2025,,Total,44,"$40,514,203"
2025,,Summary for Pennsylvania by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,7,"$5,396,358"
2025,,2,33,"$28,166,586"
2025,,3,172,"$140,343,692"
2025,,5,1,"$318,428"
2025,,6,6,"$4,113,350"
2025,,10,14,"$6,430,605"
2025,,12,136,"$80,896,378"
2025,,13,1,"$135,632"
2025,,15,15,"$10,036,611"
2025,,Total,385,"$275,837,640"
2025,,Summary for Rhode Island by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,25,"$10,203,656"
2025,,2,14,"$4,421,072"
2025,,Total,39,"$14,624,728"
2025,,Summary for South Carolina by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,3,5,"$1,724,276"
2025,,4,1,"$300,000"
2025,,6,18,"$8,566,688"
2025,,Total,24,"$10,590,964"
2025,,Summary for South Dakota by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,At-Large,1,"$5,356"
2025,,Total,1,"$5,356"
2025,,Summary for Tennessee by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,6,"$1,391,386"
2025,,2,1,"$357,236"
2025,,5,17,"$6,108,022"
2025,,7,80,"$54,558,601"
2025,,9,55,"$51,813,362"
2025,,Total,159,"$114,228,607"
2025,,Summary for Texas by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,,1,"$681,269"
2025,,1,3,"$1,157,098"
2025,,7,8,"$2,398,220"
2025,,9,72,"$41,398,186"
2025,,10,38,"$16,557,589"
2025,,12,2,"$395,958"
2025,,14,46,"$36,631,190"
2025,,15,2,"$917,410"
2025,,16,3,"$862,501"
2025,,17,2,"$1,137,323"
2025,,18,26,"$16,451,077"
2025,,19,5,"$1,444,392"
2025,,20,46,"$33,618,016"
2025,,24,5,"$1,788,612"
2025,,25,12,"$5,595,618"
2025,,30,63,"$34,636,074"
2025,,35,1,"$299,868"
2025,,Total,335,"$195,970,401"
2025,,Summary for Utah by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,1,52,"$30,832,415"
2025,,3,2,"$809,813"
2025,,Total,54,"$31,642,228"
2025,,Summary for Vermont by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,At-Large,16,"$6,267,741"
2025,,Total,16,"$6,267,741"
2025,,Summary for Virginia by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,3,2,"$1,342,560"
2025,,4,18,"$6,624,326"
2025,,5,58,"$30,452,541"
2025,,9,25,"$9,713,245"
2025,,10,5,"$22,695,053"
2025,,11,2,"$2,822,366"
2025,,Total,110,"$73,650,091"
2025,,Summary for Washington by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,5,10,"$2,788,381"
2025,,7,285,"$343,810,853"
2025,,Total,295,"$346,599,234"
2025,,Summary for West Virginia by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,6,"$6,364,766"
2025,,Total,6,"$6,364,766"
2025,,Summary for Wisconsin by Congressional District,,
2025,,Congressional District,Awards,Funding
2025,,2,79,"$48,752,726"
2025,,4,27,"$10,255,131"
2025,,5,1,"$1,000,000"
2025,,Total,107,"$60,007,857"
,,,,
,,,,
,,,,
2024,,Summary for Alabama by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,AL,1,8,"$2,632,487"
2024,AL,3,2,"$256,702"
2024,AL,5,2,"$589,437"
2024,AL,6,1,"$303,731"
2024,AL,7,78,"$49,478,649"
2024,AL,Total,91,"$53,261,006"
2024,,Summary for Alaska by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,AK,0,1,"$648,487"
2024,AK,Total,1,"$648,487"
2024,,Summary for Arizona by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,AZ,1,11,"$4,510,400"
2024,AZ,2,5,"$4,496,553"
2024,AZ,3,3,"$2,317,365"
2024,AZ,4,6,"$3,191,146"
2024,AZ,6,1,"$299,985"
