Year,State,District,Awards,Funding
2025,NJ,10,97,"$36,383,840"
2025,NJ,11,3,"$1,251,757"
2025,NJ,12,35,"$14,501,330"
2025,NJ,Total,171,"$66,688,716"
2025,NM,1,31,"$15,339,096"
2025,NM,2,3,"$684,847"
2025,NM,3,2,"$1,283,025"
2025,NM,Total,36,"$17,306,968"
2025,NY,,1,"$567,706"
2025,NY,1,48,"$19,940,663"
2025,NY,2,1,"$1,156,209"
2025,NY,3,34,"$16,473,779"
2025,NY,4,1,"$388,026"
2025,NY,5,1,"$111,181"
2025,NY,9,7,"$2,832,576"
2025,NY,10,45,"$17,091,250"
2025,NY,12,397,"$211,696,483"
2025,NY,13,413,"$201,564,386"
2025,NY,14,69,"$29,556,820"
2025,NY,15,4,"$1,640,397"
2025,NY,16,5,"$3,044,237"
2025,NY,17,5,"$2,596,416"
2025,NY,18,1,"$146,459"
2025,NY,19,47,"$17,345,057"
2025,NY,20,26,"$9,736,713"
2025,NY,21,1,"$485,865"
2025,NY,22,21,"$8,877,114"
2025,NY,25,78,"$37,111,988"
2025,NY,26,64,"$28,024,361"
2025,NY,Total,"1,269","$610,387,686"
2025,NC,,237,"$131,511,428"
2025,NC,1,5,"$1,522,173"
2025,NC,2,3,"$672,919"
2025,NC,4,214,"$129,485,821"
2025,NC,7,1,"$1,262,922"
2025,NC,8,1,"$296,519"
2025,NC,9,1,"$300,000"
2025,NC,10,41,"$19,571,450"
2025,NC,12,6,"$1,801,717"
2025,NC,13,1,"$2,112,893"
2025,NC,Total,510,"$288,537,842"
2025,ND,0,4,"$845,594"
2025,ND,Total,4,"$845,594"
2025,OH,1,133,"$74,319,872"
2025,OH,3,131,"$53,287,489"
2025,OH,4,1,"$313,372"
2025,OH,5,1,"$419,466"
2025,OH,8,3,"$872,565"
2025,OH,9,10,"$3,346,131"
2025,OH,10,5,"$1,781,511"
2025,OH,11,151,"$65,409,028"
2025,OH,12,2,"$624,442"
2025,OH,14,6,"$1,986,750"
2025,OH,Total,443,"$202,360,626"
2025,OK,1,6,"$1,801,625"
2025,OK,3,6,"$1,279,552"
2025,OK,4,6,"$3,856,157"
2025,OK,5,41,"$18,667,441"
2025,OK,Total,59,"$25,604,775"
2025,OR,1,90,"$37,307,779"
2025,OR,3,1,"$636,514"
2025,OR,4,32,"$14,428,362"
2025,OR,Total,123,"$52,372,655"
2025,PA,1,3,"$1,506,174"
2025,PA,2,89,"$34,082,987"
2025,PA,3,358,"$185,031,721"
2025,PA,5,5,"$1,755,004"
2025,PA,7,1,"$566,267"
2025,PA,9,2,"$1,329,659"
2025,PA,10,31,"$17,216,345"
2025,PA,12,260,"$118,505,247"
2025,PA,15,42,"$22,598,862"
2025,PA,16,1,"$870,467"
2025,PA,Total,792,"$383,462,733"
2025,RI,1,60,"$26,156,055"
2025,RI,2,56,"$9,370,277"
2025,RI,Total,116,"$35,526,332"
2025,SC,2,2,"$1,774,091"
2025,SC,3,11,"$3,468,794"
2025,SC,6,70,"$31,925,922"
2025,SC,Total,83,"$37,168,807"
2025,SD,0,3,"$969,685"
2025,SD,Total,3,"$969,685"
2025,TN,,2,"$1,303,051"
2025,TN,1,6,"$2,041,362"
2025,TN,2,5,"$1,486,271"
2025,TN,5,79,"$28,972,736"
2025,TN,7,102,"$84,214,834"
2025,TN,9,66,"$32,779,380"
2025,TN,Total,260,"$150,797,634"
2025,TX,,1,"$560,583"
2025,TX,1,5,"$2,351,950"
2025,TX,9,244,"$97,460,956"
2025,TX,10,61,"$25,097,326"
2025,TX,12,15,"$10,374,435"
2025,TX,13,2,"$367,573"
2025,TX,14,33,"$15,668,894"
2025,TX,15,3,"$657,032"
2025,TX,16,6,"$1,360,239"
2025,TX,17,5,"$1,719,405"
2025,TX,18,94,"$37,727,933"
2025,TX,19,15,"$6,333,159"
2025,TX,20,71,"$27,763,042"
2025,TX,24,22,"$8,402,884"
2025,TX,25,67,"$27,204,477"
2025,TX,29,1,"$815,391"
2025,TX,30,117,"$53,575,071"
2025,TX,32,1,"$762,936"
2025,TX,34,1,$1
2025,TX,35,1,"$325,626"
2025,TX,36,1,"$1,024,635"
2025,TX,37,2,"$1,299,757"
2025,TX,Total,768,"$320,853,305"
2025,UT,1,103,"$38,663,062"
2025,UT,2,2,"$2,011,408"
2025,UT,3,5,"$2,063,539"
2025,UT,Total,110,"$42,738,009"
2025,VT,0,23,"$9,550,440"
2025,VT,Total,23,"$9,550,440"
2025,VA,3,4,"$1,528,856"
2025,VA,4,56,"$20,160,986"
2025,VA,5,107,"$52,640,182"
2025,VA,9,32,"$10,818,871"
2025,VA,11,7,"$2,635,507"
2025,VA,Total,206,"$87,784,402"
2025,WA,2,2,"$798,417"
2025,WA,4,1,"$691,441"
2025,WA,5,21,"$6,292,876"
2025,WA,7,276,"$246,803,011"
2025,WA,9,8,"$4,200,088"
2025,WA,Total,308,"$258,785,833"
2025,WV,,1,"$21,670"
2025,WV,1,1,"$370,000"
2025,WV,2,6,"$3,350,299"
2025,WV,Total,8,"$3,741,969"
2025,WI,2,142,"$79,507,245"
2025,WI,3,2,"$257,115"
2025,WI,4,63,"$35,501,185"
2025,WI,5,1,"$199,263"
2025,WI,Total,208,"$115,464,808"
2025,WY,0,5,"$1,022,899"
2025,WY,Total,5,"$1,022,899"
,,,,
,,,,
,,,,
2024,,Summary for Alabama by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,AL,1,8,"$2,632,487"
2024,AL,3,2,"$256,702"
2024,AL,5,2,"$589,437"
2024,AL,6,1,"$303,731"
2024,AL,7,78,"$49,478,649"
2024,AL,Total,91,"$53,261,006"
2024,,Summary for Alaska by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,AK,At-Large,1,"$648,487"
2024,AK,Total,1,"$648,487"
2024,,Summary for Arizona by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,AZ,1,11,"$4,510,400"
2024,AZ,2,5,"$4,496,553"
2024,AZ,3,3,"$2,317,365"
2024,AZ,4,6,"$3,191,146"
2024,AZ,6,1,"$299,985"
2024,AZ,7,35,"$17,248,086"
2024,AZ,Total,61,"$32,063,535"
2024,,Summary for Arkansas by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,AR,2,23,"$9,009,750"
2024,AR,3,1,"$759,802"
